FACTION	TYPE	COST	EFFECT
C.A.R.C.A.S.S.	Trait	-	Bone Wall: You can use your units as cover. While in cover your abilities gain +1 range.
C.A.R.C.A.S.S.	Trait	-	Gun Kata: Ranged attacks gain a minimum range of 1 and push units 1 if they are adjacent.
C.A.R.C.A.S.S.	Trait	-	Clutch Reload: Your ranged attacks gain Headshot: reload.
C.A.R.C.A.S.S.	Act	-	"Grenade Jump: Self. Effect: Splash (self): 1 fire damage, then step 2 with free movement."
C.A.R.C.A.S.S.	Act	-	"Armor Lock: Self. Effect: Push all adjacent foes 1. Until the end of your next turn, your gain SUPER and allied units can use as a cover object. You cannot MOVE, step or be pushed or pulled for the same duration."
C.A.R.C.A.S.S.	Act	-	"Devil Bullet: Self. Effect: Reload. Your next attack gains +1D, ignores PHYS and MAG, and automatically triggers headshot effects on hit."
C.A.R.C.A.S.S.	Act	-	Superkick: Melee. Effect: Push an adjacent unit 3. Foes gain 1 vulnerable if they would be pushed into a wall or elevated space.
C.A.R.C.A.S.S.	Act	-	"LV4 Living Cannon: Attack, range 2-6, reload*. On hit: 1 fire damage, Splash (target): 1 fire damage. Headshot: All affected units gain 1 vulnerable. *Effect: Must reload twice before this is usable."
C.A.R.C.A.S.S.	Act	-	"SG88 Two Barrel Shotgun: Attack, range 1-2, reload. On hit: 1 damage, then 1 damage. Effect: push 1, then push 1. Headshot: Reload."
C.A.R.C.A.S.S.	Act	-	"Unholy Sixgun: Attack, range 2-4, reload. On hit: 1 damage. Headshot: this attack deals +1 base damage on hit for the rest of combat, up to a maximum of 4."
C.A.R.C.A.S.S.	Soul	1	"Double Tap (1 SOUL): Any turn. Trigger: you reduce a unit to exactly 1 hp. Effect: you may immediately activate this ability to deal 1 damage to it, ignoring armor."
C.A.R.C.A.S.S.	Soul	1	Frag Bullet (1 SOUL): Own turn. Trigger: You hit an attack. Effect: Target gains 2 vulnerable after the ability resolves.
C.A.R.C.A.S.S.	Soul	2	"Bullet Hustle (2 SOUL): Any turn. Trigger: After any unit MOVEs. Effect: Step 2, then deal 1 damage to a unit in range 3."
C.A.R.C.A.S.S.	Soul	3	"Overwatch (3 SOUL): Own turn. Effect: Reload. Until the start of your next turn, enemy units entering adjacent spaces without being pushed or pulled there take 1 damage and are pushed 1, interrupting their movement. This effect can only trigger once a turn."
C.A.R.C.A.S.S.	Soul	4	"Bullet Sonata (4 SOUL): Own turn. Effect: Every foe in range 2 takes 1 damage, ignoring armor, and is pushed 1."
C.A.R.C.A.S.S.	Soul	6	"S.T.G. (6 SOUL): Own turn. Trigger: Headshot. Effect: Obliterate target unit, sending them Straight to the Grave."
Goregrinders	Trait	-	"Nerve Twitch: At 3 hp or lower, DF increases to 5+."
Goregrinders	Trait	-	Blood Drinker: Slaying a unit clears a negative token.
Goregrinders	Trait	-	"Blood Rush: At 3 hp or lower, gain retaliation."
Goregrinders	Act	-	Quench: Self. Effect: Convert up to 3 negative tokens on self or adjacent allies to speed or strength tokens.
Goregrinders	Act	-	Frenzy Chain: Range 3. Pull a unit in range 2 spaces. Effect (3+): Pull another unit. (5+): Pull another unit.
Goregrinders	Act	-	Furious Roar: Self. All allied units anywhere may step 1 and gain 1 speed.
Goregrinders	Act	-	"Apoplexy: Self. Gain 1 strength and 1 berserk, then double all berserk and strength tokens."
Goregrinders	Act	-	"Pilebunker: Attack, melee. On hit: 2 damage, then 1 fire damage again. Effect: This attack rolls -1D."
Goregrinders	Act	-	"Saw Tooothed Slayer Axe: Line 4. Line: 1 damage. If only one unit is caught in the area, this damage ignores armor and this line destroys walls."
